"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 09:22:46 GMT 2025","Fri Mar 21 09:22:50 GMT 2025","3715","","BooksApiTests","","BooksApiTests","testFetchBooks","Fetch a list of books",""
"passed","Fri Mar 21 09:22:48 GMT 2025","Fri Mar 21 09:22:49 GMT 2025","548","","BooksApiTests","","BooksApiTests","testCreateBook","Create book",""
"passed","Fri Mar 21 09:22:49 GMT 2025","Fri Mar 21 09:22:50 GMT 2025","568","","AuthorsApiTests","","AuthorsApiTests","testUpdateAuthor","Update author",""
"passed","Fri Mar 21 09:22:48 GMT 2025","Fri Mar 21 09:22:49 GMT 2025","522","","BooksApiTests","","BooksApiTests","testDeleteBook","Delete book",""
"passed","Fri Mar 21 09:22:45 GMT 2025","Fri Mar 21 09:22:48 GMT 2025","3610","","BooksApiTests","","BooksApiTests","testFetchNonExistingBookById","Fetch non-existing book by id",""
"passed","Fri Mar 21 09:22:48 GMT 2025","Fri Mar 21 09:22:49 GMT 2025","532","","AuthorsApiTests","","AuthorsApiTests","testDeleteAuthor","Delete author",""
"passed","Fri Mar 21 09:22:48 GMT 2025","Fri Mar 21 09:22:50 GMT 2025","1535","","AuthorsApiTests","","AuthorsApiTests","testFetchAuthors","Fetch a list of authors",""
"passed","Fri Mar 21 09:22:49 GMT 2025","Fri Mar 21 09:22:50 GMT 2025","572","","AuthorsApiTests","","AuthorsApiTests","testFetchNonExistingAuthorById","Fetch non-existing author by id",""
"passed","Fri Mar 21 09:22:45 GMT 2025","Fri Mar 21 09:22:48 GMT 2025","3611","","AuthorsApiTests","","AuthorsApiTests","testCreateAuthor","Create author",""
"passed","Fri Mar 21 09:22:49 GMT 2025","Fri Mar 21 09:22:50 GMT 2025","579","","AuthorsApiTests","","AuthorsApiTests","testFetchExistingAuthorById","Fetch existing author by id",""
"passed","Fri Mar 21 09:22:45 GMT 2025","Fri Mar 21 09:22:48 GMT 2025","3613","","BooksApiTests","","BooksApiTests","testUpdateBook","Update book",""
"passed","Fri Mar 21 09:22:45 GMT 2025","Fri Mar 21 09:22:48 GMT 2025","3610","","BooksApiTests","","BooksApiTests","testFetchExistingBookById","Fetch existing book by id",""
