"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 09:15:31 GMT 2025","Fri Mar 21 09:15:37 GMT 2025","5596","","BooksApiTests","","BooksApiTests","testFetchNonExistingBookById","Fetch non-existing book by id",""
"passed","Fri Mar 21 09:15:31 GMT 2025","Fri Mar 21 09:15:37 GMT 2025","5594","","AuthorsApiTests","","AuthorsApiTests","testFetchExistingAuthorById","Fetch existing author by id",""
"passed","Fri Mar 21 09:15:31 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","6767","","AuthorsApiTests","","AuthorsApiTests","testFetchAuthors","Fetch a list of authors",""
"failed","Fri Mar 21 09:15:33 GMT 2025","Fri Mar 21 09:15:37 GMT 2025","3595","","BooksApiTests","","BooksApiTests","testUpdateBook","Update book",""
"passed","Fri Mar 21 09:15:31 GMT 2025","Fri Mar 21 09:15:37 GMT 2025","5586","","AuthorsApiTests","","AuthorsApiTests","testCreateAuthor","Create author",""
"passed","Fri Mar 21 09:15:37 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","615","","AuthorsApiTests","","AuthorsApiTests","testFetchNonExistingAuthorById","Fetch non-existing author by id",""
"passed","Fri Mar 21 09:15:38 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","551","","BooksApiTests","","BooksApiTests","testCreateBook","Create book",""
"passed","Fri Mar 21 09:15:37 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","705","","BooksApiTests","","BooksApiTests","testFetchExistingBookById","Fetch existing book by id",""
"passed","Fri Mar 21 09:15:37 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","609","","AuthorsApiTests","","AuthorsApiTests","testDeleteAuthor","Delete author",""
"passed","Fri Mar 21 09:15:38 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","551","","AuthorsApiTests","","AuthorsApiTests","testUpdateAuthor","Update author",""
"passed","Fri Mar 21 09:15:38 GMT 2025","Fri Mar 21 09:15:40 GMT 2025","2557","","BooksApiTests","","BooksApiTests","testFetchBooks","Fetch a list of books",""
"passed","Fri Mar 21 09:15:37 GMT 2025","Fri Mar 21 09:15:38 GMT 2025","629","","BooksApiTests","","BooksApiTests","testDeleteBook","Delete book",""
